Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response,,,,,,,,,,,,,,,,,,
The Guerrilla,1908,N/A,13 Nov 1908,15 min,"Short, Action, War",D.W. Griffith,D.W. Griffith,"Arthur V. Johnson, Dorothy West, George Gebhardt",A Confederate officer rescues his lady love from a drunken guerrilla.,"None, English",United States,N/A,https://m.media-amazon.com/images/M/MV5BNWZlNTdjMzYtMWYzNi00MDg1LWEwZGMtM2Q1YTg0OWFmMjEyXkEyXkFqcGdeQXVyMTI2OTg5ODQw._V1_SX300.jpg,N/A,5.1,30,tt0000697,movie,N/A,N/A,N/A,N/A,True,,,,,,,,,,,,,,,,,,
The Girl and the Outlaw,1908,N/A,08 Sep 1908,14 min,"Short, Action, Western",D.W. Griffith,D.W. Griffith,"Charles Inslee, Harry Solter, Gene Gauntier","Bill Preston, a heartless roadabout, too despicable for the association of white men, had gathered about him a little band of low-down redskins, whom he seemed to rule by extreme despotism. At any rate, they all feared him, as he, with them, terrorized the whole country 'round, by acts of pillage, arson and worse. Bill, despite his black nature, was a handsome fellow, who, under different conditions, might be called attractive. This the case, there is reason why Nellie Carson, a girl of the frontier, should fall so violently in love with him, casting her lot with his. She soon finds out his true nature, but even then she seems to be held by an irresistible power, though, he would cast her off, which he tries to do, leaving her lying wounded and insensible in the road, after a stormy scene between them. She is discovered by a girl of the mountains, who offers to help her to her mountain home. Though moved by the girl's kindness, she rejects her offer, choosing to go her own way on the road of life she has picked out. The mountain girl drives off and is waylaid by Bill, who seizes her and brings her to his camp. Nellie, coming along later, discovers evidence of what has taken place, and with a feeling of pity for the girl, and jealousy of Bill, resolves to save her. She arrives at camp at nightfall and manages to release the girl and get away, but unfortunately her revolver drops to the ground, and exploding, awakens the gang. The girl's plight looks bad for the instant, and would have been disastrous had not one of the Indians, who had always shown a weakness for Nellie, handicapped Bill. This enabled the girls, who mounted the one horse, to get a lead. However, Bill and his red devils are fast gaining on them, and several of his bullets have taken effect in poor Nellie's body, who has sacrificially placed herself between the mountain girl and Bill. The girl's apprehension seems inevitable, when the Indian rides up, and Bill, with a dagger wound in the breast, falls from his horse, thereby closing his contemptible career. This in a measure demoralizes the gang, and the girls reach the mountaineer's cabin, but Nellie is mortally wounded and expires as she is taken from the horse, the good Indian driving up just in time to claim her body that he might bury it. This subject is an exceptionally thrilling one, with photography of the highest order, and many of the scenes tinted.","None, English",United States,N/A,N/A,N/A,5.1,51,tt0000694,movie,N/A,N/A,N/A,N/A,True,,,,,,,,,,,,,,,,,,
The Heart of O Yama,1908,N/A,18 Sep 1908,15 min,"Short, Drama, Romance",D.W. Griffith,"D.W. Griffith, Bret Harte","Florence Lawrence, George Gebhardt, D.W. Griffith","Pretty Miss Chrysanthemum has but little to say as to the disposal of her heart, at least, such is the custom in Japan. Her parents attend to that for her. However, pretty little O Yama Sum had a will of her own, and casting tradition to the winds, insisted upon making her own choice. The Grand Daimio has long loved the pretty O Yama and presents himself before her mother in quest of her hand. His offer is scorned by O Yama, for she loves another, a low-born but worthy warrior. She writes to him to meet her by the Great Lamp of Savatiya that night, and they are nearly caught through the treachery of one of the butterflies of the court, who tells the Daimio of his rival. The lover escapes by hiding in the great lamp and afterwards being conveyed in a large hamper to the Bower of Roses, where he is eventually captured and thrown into the torture chamber. The Daimio, to render his revenge more complete, conveys to O Yama a false message from her lover, with his, the Daimio's, permission to see him. She is conducted to the chamber, and the sight that greets her fairly paralyzes her; for here is her lover hung by the wrists, dangling over a treacherous bed of upturned knife-blades, which inflict ugly wounds at the slightest move of his body. Besides this, there is a sword lying across a fire to be used at order from the Daimio. Here the Daimio gives poor O Yama her choice between her marriage with him or her lover's torture. But the brave warrior urges her to refuse. The sword, now incandescently hot, is applied to his breast, leaving great red scars, but he is still obdurate, until at length he is cut down and expires in the arms of O Yama. As he fails, his dagger drops to the floor, and O Yama, unobserved, conceals it in her obi. Then, turning to the Daimio, she consents to become his bride. He, delighted by her apparent change of heart, orders the preparations for the wedding to be made at once, which, according to Japanese custom, is to take place just before sundown. There in the wedding hall are assembled the courtiers and butterflies, when enter the priest, or ""Marrier,"" as he is called, followed by O Yama, her mother and the Daimio. The Daimio, his bride-elect, and her mother take their places on the cushions, while the Marrier pours the sake, handing the cup first to the mother, then to the Daimio, who both drink of the wine, and finally to O Yama, who, instead of drinking, whips the dagger from her obi, plunges it deep into the heart of the Daimio, who drops like a log, dead at her feet, and before anyone can intervene she performs the happy dispatch with the same bodkin, so concluding a film story that is not only a most exciting and novel one, but extremely picturesque as well.","None, English",United States,N/A,N/A,N/A,5.4,26,tt0000698,movie,N/A,N/A,N/A,N/A,True,,,,,,,,,,,,,,,,,,
The Greaser's Gauntlet,1908,N/A,11 Aug 1908,17 min,"Short, Action",D.W. Griffith,"D.W. Griffith, Stanner E.V. Taylor","Wilfred Lucas, Arthur V. Johnson, Marion Leonard","Though somewhat obscure in the beginning, this subject shows the efficacy of a mother's prayer. Holy is the name Mother, and many who stray from the path of righteousness to the radiantly alluring avenues of sin and prodigality, are rescued from the inevitable end by her prayers. So it is with the hero of this story. Jose, a handsome young Mexican, leaves his home in the Sierra Madre Mountains to seek his fortune in the States. On leaving, his dear old mother bestows upon him her blessing, presenting him with a pair of gauntlets, upon the dexter wrist of which she has embroidered a Latin Cross. This she intended as a symbol and reminder to him of her and her prayers for his welfare. She cautions him to be temperate, honest and dispassionate: to bear the burden of life's cross with fortitude and patience. We next find him in a tavern on the border, where congregate the cowboys, miners and railroad construction employees, a new line from the States into Mexico having just been started. This tavern is the principal hotel of the place, and as a matter of course there is a motley assemblage in the barroom, which also serves as the office. Tom Berkeley is the engineer of the construction company and the affianced of Mildred West, a New York girl. Mildred, being of a romantic turn of mind, and wishing to cheer Tom's life in this sandy purlieu, consents to join him and become his wife. This is the day of Mildred's arrival, and Tom meets her and her father at the train to bring them to this hotel. Bill Gates, an assistant engineer, has long loved the fair Mildred, but has received no encouragement, in fact his attentions are to her odious in the extreme, for she has seen behind his veneer of gentlemanly civility the despicable brute that he is. Their entrance at the tavern causes quite a stir, for the pretty face or the girl makes an impression on all, particularly Jose. He is silting drinking with a friend on one side of the room, while just across the way is a party of cowboys playing poker. One of the boys takes a roll of money, which is done up in a bandanna handkerchief, from his hip pocket, peels off a five and puts the roll back. The Chinese servant sees this and upsetting a glass of liquor on the floor, gets down, ostensibly to wipe it up, steals the money and drops the bandanna at Joses feet, who upon rising thinks it his own, puts it in his belt and goes out. He has hardly left the place before the robbery is noticed and of course suspicion points to him, which seems well-grounded, upon his being brought back with the incriminating bandanna hanging from his belt. At once there is a cry of Lynch him!"" and although he protests his innocence, and despite the pleading of Mildred, who really believes him so, he is taken out to be hanged. Off to the woods they drag him and placing the rope about his neck they give him one more chance to confess, but still insisting be is innocent, he asks for a chance to pray. As his eye falls upon the cross on his gauntlet his thoughts go back to her, who, no doubt, is now praying with him and for him, through a mother's intuition. Meanwhile Mildred at the hotel is in the extreme of commiseration for Jose, who she is sure is guiltless. Coming from her room she runs suddenly into the Chinaman in the act of hiding a roll of money under the hall carpet, and before he is aware of her presence she has snatched the money from his hands and gained the admission that he is the real thief. Like a flash she is off after the would-be lynches, arriving just as Jose, taking a last glance at the cross is swung in the air. Breaking through the crowd she causes the startled cowboys to release their hold on the rope, and Jose drops to the ground uninjured. A hurried explanation and return of the money to the owner, and all start after the Chinaman, leaving Mildred and Jose on the scene. He cannot express the gratitude he feels for the girl, but swears that if ever she needs his help he will come to her. Taking out his knife be cuts in two the gauntlet and gives her the wrist as a token of his pledge, and as she takes it her eyes sink deep into his heart, enkindling a hopeless passion for her. She in turn promises to always keep his token with her. Time runs on, and Jose cannot obliterate the sweet face of the girl from his mind's eye. She has in a measure usurped that of his dear mother, hence to ameliorate his sorrow, he takes to drinking and goes to the depths of degradation. At the end of five years the railroad contracts are completed and a garden fete is given in honor of Tom Berkeley, the engineer, by the officials. Bill Gates, of course, is present and renews his attentions to Mildred, who is now Tom's wife. She at first mildly repulses him, but when he becomes insultingly persistent, she screams, which brings to her side Tom, who with one blow sends Gates crashing through the trellis work of the arbor. Gates swears vengeance and, going to a low tavern for help, comes upon Jose, drunk, of course, and with him and another greaser they waylay Tom's carriage in a lonely road on their way home from the fete. A blow on the heart puts Tom out, and Gates carries Mildred, who had fainted, to the tavern, where he takes her, assisted by Jose, to the upper floor. Jose then, at Gates' suggestion, goes downstairs for some drink. During his absence Mildred revives and makes a desperate struggle to escape but she is restrained by Gates, and finally falls exhausted on the cot, as Jose returns with the bottles. There upon the floor is the cross-embroidered wrist of the gauntlet, which Mildred has dropped during the struggle. Jose seizes it and the truth at once dawns upon him. ""Oh, God, what have I done? Yet it is not too late to undo it."" So with the ferociousness of a wolf he leaps at the throat of Gates and after a terrific battle drops him lifeless to the floor, as the husband and friends burst into the room. The tables are now turned and Mildred has a chance to thank him for his deliverance. Jose at the sight of the cross makes a solemn resolution, which he immediately fulfills, to return to his dear old mother in the mountains, in whose arms we leave him, concluding a film story that is one continuous concentrated absorbing thrill. -- The Moving Picture World, August 15, 1908","None, English",United States,N/A,N/A,N/A,5.9,53,tt0000695,movie,N/A,N/A,N/A,N/A,True,,,,,,,,,,,,,,,,,,
The Flower Girl of Paris,1908,N/A,26 Dec 1908,N/A,"Short, Drama",Van Dyke Brooke,N/A,Mary Fuller,"In a thieves' den in a low quarter of Paris, Jean Bambard, a desperado, and Pigord, one of his gang, are apparently quarreling. They take frequent pulls from a brandy bottle on the table between them. The door opens and Mimi, a very pretty girl, thin and pale, enters, carrying a basket of flowers on her arm. She comes timidly forward. Bambard rises to his feet, staggers toward her in a half-drunken manner, points to her full basket of flowers, roughly pushes her and orders her out again. She sinks exhausted on a chair and pleads for a rest, but Bambard strikes her and forces her out the door. The two thieves resume their conversation, and after a while gather some burglar tools, leaving mother Martin, another member of the gang, in charge and depart. The flower girl wanders along to a fashionable part of the city, meeting with but little success in disposing of her flowers. An automobile dashes up, and Rene Masson, a handsome young man, alights. Mimi offers him a bunch of flowers. He looks at her face, takes them and gives in return several bank notes. At this moment the girl is seized with a sudden faintness, staggers and would have fallen had not the young man caught her. He places her in his auto and starts for home. Bambard and Pigord, who have been watching from across the street, start off in the same direction. The young man reaches his apartments, carries in the unconscious girl and places her on a couch. Forcing some wine between her lips, the girl soon revives and opens her eyes in wonderment. She is given food and drink, recovers from her faintness and asks to go. Her protector accompanies her and they have scarcely left the room when Bambard and Pigord enter, ransack the place, carrying away bank notes, jewels, plate, etc. They proceed to their den, tell of their escapade, also of the fainting of Mimi. A plan is conceived to lure the young man to the den and a note dispatched offering to return the plunder for a cash ransom, and signed the flower girl. Rene receives the decoy letter, takes a roll of bank notes, his revolver and departs. Mimi returns to the rendezvous, learns of the robbery and also of the plan to trap the young millionaire and determines to save him. She eludes mother Martin, jumps from the window and hurries to the police inspector, and, with several officers, starts for the gang's headquarters. Meanwhile the young millionaire proceeds to the address given, and as he crosses the threshold, the thieves spring upon him, overpower and bind him. Bambard, after securing the young man's money, points his revolver at Rene's head. As he fires, the door flies open and Mimi jumps in front of Rene and receives the bullet instead of him. The officers follow and after a short struggle the gang is overpowered and taken away. Rene's bonds are removed. He rushes over to the flower girl, raises her in his arms, she looks up with a smile, presses his hand and falls back dead. Rene gazes for a moment, bends down and kisses her forehead reverently.",None,United States,N/A,N/A,N/A,N/A,N/A,tt0000688,movie,N/A,N/A,N/A,N/A,True,,,,,,,,,,,,,,,,,,
The Humpty Dumpty Circus,1898,N/A,02 Nov 1908,4 min,"Animation, Short, Comedy","J. Stuart Blackton, Albert E. Smith",J. Stuart Blackton,N/A,"A reel of mirth-provoking stunts that will draw the pennies from the children, but which is of much interest to young and old alike. It opens with a crowd of children leaving school and marching through the streets to the ""Humpty Dumpty Circus."" We see them crowd into the tent and at the end of each act they vociferously applaud the performers These are the little wooden toys that are familiar to all, and which are made to perform all the usual acrobatic stunts of the circus performer in a remarkably realistic manner. Some of the scenes are really comical and it is hard to believe that the elephants and donkeys are not alive.",None,United States,N/A,https://m.media-amazon.com/images/M/MV5BNzI4ZDE2YTAtMWI2My00ZTg5LWIwMGQtODNmZjBhZTgzN2QxXkEyXkFqcGdeQXVyMzUwMTgwMw@@._V1_SX300.jpg,N/A,5.5,55,tt0000704,movie,N/A,N/A,N/A,N/A,True,,,,,,,,,,,,,,,,,,
The Helping Hand,1908,N/A,29 Dec 1908,15 min,"Short, Drama",D.W. Griffith,D.W. Griffith,"Flora Finch, Linda Arvidson, Anita Hendrie","This is the year that the motion picture industry officially started, spearheaded by the 33 year old Griffith. He had totaled up over 80 films in this one year, and this film was the last for 1908. In it, you notice how he brings out the 'inner light' from his performers, probing their emotions in the roles that they play.","None, English",United States,N/A,N/A,N/A,6.0,27,tt0000699,movie,N/A,N/A,N/A,N/A,True,,,,,,,,,,,,,,,,,,
Hulda's Lovers,1908,N/A,22 Apr 1908,N/A,"Short, Comedy",Wallace McCutcheon,Gene Gauntier,"Edward Dillon, Gene Gauntier, D.W. Griffith","Hulda is a maiden fair to look upon. Her artless rustic simplicity, rivaling Hebe's gorgeous radiance, phlogisticates the susceptible hearts of the village swains. But alas, Hulda was a fickle maid, and seemed to have as many phases as the moon, with a smile for all and a frown for none. Her capriciousness was the cause of much unrest, both for herself and her lovers, for when her parents had departed for a visit, leaving her in charge of the kitchen, she received most effusively Jocular Jake, the village cut-up, only to hide him above stairs at the entrance of Previous-Hearted Pat, the hostler, who in turn is hidden in the Dutch oven at the approach of Handy Hank, the chore boy. Now Hank has long loved the fair Hulda, but, gol darn it, somehow or other he just can't tell her, and so he puts it off. The next to arrive is Asinine Alfred, the city chap. He makes quite a hit, but again an interruption sends him unwillingly to the wood box. ""Drat it all!"" It is only Hank with an armful of wood, which he throws in on the unfortunate Alfred. The worst is not yet, for in walks Generous George, the grocer's clerk, who is the beau ideal of the village; so he thinks. Again that tantalizing interruption. ""The pickle barrel for yours, dear George, I hear someone coming."" and in he gets. The cause of the alarm is Solemn Si, the favored. Now, here is a condition most perplexing; Jake upstairs, Pat in the oven, Alfred in the wood box, George in the pickle barrel, Si in her arms and the hour of her parents' return fast approaching. Still she faces it with wonderful composure, enjoying the company of her sincere, simple suitor, Si, when mama enters. Consternation! Down through the ceiling comes Jake, out of the oven rolls Pat, up from the depths of the wood box and pickle barrel rise Alfred and George, while Si seeks shelter under the kitchen table. Girls, you are warned against having two strings to your bow, but Hulda's was like a harp.","None, English",United States,N/A,N/A,N/A,N/A,N/A,tt0000703,movie,N/A,N/A,N/A,N/A,True,,,,,,,,,,,,,,,,,,
For Love of Gold,1908,N/A,21 Aug 1908,9 min,"Short, Crime",D.W. Griffith,"D.W. Griffith, Jack London","Harry Solter, George Gebhardt, Charles Gorman","It is often said there is honor among thieves, but not so, as we shall see in this story. Two denizens of the underworld are seen in their squalid furnished room planning a robbery. Their intended victim is known to hold at all times in his safe at home a large sum of money and a wealth of jewels. Gathering together the tools of their nefarious calling, they start off, arriving at the house shortly after the master had retired for the night. Entrance is easily and noiselessly effected. A chloroform-soaked handkerchief soon puts the master beyond the power of interfering and the safe is broken open. The sight that greets them almost makes them gasp. There in this strong box is not only an enormous sum of money, but many valuable jewels as well, prominent among which is a handsome diamond necklace. All this is put into a cloth, and a hurried egress made. Back to their room they go to divide the spoils of their night's haul. The diamond necklace being an indivisible article, a contention is at once raised between the partners in crime. There is no way in which they seem able one to satisfy the other, so they drop the argument for the time being to eat lunch. One, to make sure that he shall be the possessor of the loot, drops poison in the coffee of his chum, Which he drinks, and is soon in the throes of convulsions, falling to the floor lifeless, while the other stands by sardonically gloating over his seeming victory; but his elation is short-lived, for he is now seized with the same agony and pitches forward alongside his partner. The two had played the same game, each unknown to the other. ""Honor among thieves?""-Bah!","None, English",United States,N/A,N/A,N/A,6.6,57,tt0000689,movie,N/A,N/A,N/A,N/A,True,,,,,,,,,,,,,,,,,,
Inauguración de la exposición hispano-francesa,1908,N/A,N/A,36 min,"Short, Documentary",Ignacio Coyne,N/A,N/A,"A documentary about the inauguration of the ""Arts Exposition"" in Zaragoza, with the assistance of several artists and personalities from Spain and France.",None,Spain,N/A,N/A,N/A,N/A,N/A,tt0000705,movie,N/A,N/A,N/A,N/A,True,,,,,,,,,,,,,,,,,,
Julius Caesar,1908,N/A,01 Dec 1908,13 min,"Short, Drama, History","J. Stuart Blackton, William V. Ranous","Theodore A. Liebler Jr., William Shakespeare","Charles Kent, William Shea, Maurice Costello","An elaborate production of Shakespeare's admirable play. Scene 1. Street in Rome. Casca and Trebonius upbraid the citizens for praising Caesar. Scene 2. The Forum. A soothsayer bids Caesar ""beware of the ides of March."" Scene 3. Mark Antony wins the race and ""thrice he offers Caesar a crown."" Scene 4. Cassius tempts Brutus to join the conspiracy against Caesar. Scene 5. Brutus' garden. Meeting of the conspirators. Scene 6. Caesar's palace. Calphurnia tells Caesar of her dream and begs him not to go to the senate. The conspirators enter, laugh at his fears, urge and got his consent to go. Scene 7. Street near Capitol. The soothsayer again warns Caesar. Scene 8. The Capitol. The assassination of Caesar. Scene 9. The Forum. Brutus addresses the mob. Antony enters with Caesar's body. Scene 10. Brutus' camp near Sardis. Cassius upbraids Brutus. Scene 11. Brutus' tent. Quarrel. Caesar's ghost. Scene 12. Plains of Phillipi. Armies of Mark Antony and Octavius Caesar and Brutus and Cassius. Scene 13. The battle. ""Caesar, thou art revenged even with the sword that killeth thee."" Scene 14. Brutus slays himself. ""Caesar, now be still. I killed not thee with half so good a will."" Scene 15. Brutus' funeral pyre. ""This was the noblest Roman of them all.""","None, English",United States,N/A,https://m.media-amazon.com/images/M/MV5BNzcyYzU4OWItM2M2Yi00MzZmLWJhMmMtOTdhYTJkZTBmZDU3XkEyXkFqcGdeQXVyMzIwMjM1OTA@._V1_SX300.jpg,N/A,5.4,67,tt0000709,movie,N/A,N/A,N/A,N/A,True,,,,,,,,,,,,,,,,,,
The Invisible Fluid,1908,N/A,16 Jun 1908,12 min,"Short, Comedy",Wallace McCutcheon,N/A,"Edward Dillon, D.W. Griffith, Anthony O'Sullivan","Had the poor melancholy Dane, Hamlet, lived in this, the twentieth century, he would never have given voice to the remark, ""Oh, that this too, too solid flesh would melt, thaw and resolve itself into a dew!"" No indeed! He would have procured some of the mysterious fluid compounded by an erudite scientist by which things animate and inanimate were rendered non est, for ten minutes at least, by simply spraying them with it. In an atomizer, he sends a quantity, accompanied by a letter, to his brother. In the hope of his putting it on the market. The brother regards it as a joke, and, while toying with the atomizer, accidentally sprays himself. Presto! he is gone, to the amazement of the messenger boy who has carried the package thither. The boy reads the letter, and at once sees the amount of fun he can get out of it, so he nips it. Strolling along the avenue is a young girl, leading a dog by a chain. Swish! and a dangling chain is all that is left with the girl. Next, a Dago with a fruit stand: first, the fruit stand is made to disappear, then the Dago himself. Two expressmen are lifting a heavy trunk from their wagon when the boy appears. Same result, trunk vamooses, as do the expressmen, with another squirt of the fluid. A wedding party is just leaving church when this young imp comes along. The groom vanishes, and the bride is thrown into hysterics. Into the park be meanders, and many and ludicrous are the tricks he plays. Finally, he enters a restaurant, and, after almost throwing the place into a panic, goes to pay his cheek, but, instead, he, with one spray, obliterates the young lady cashier and then steals the cash register. He is now chased by a mob of his victims, who have by this time overcome the influence of the fluid and become reincarnate. Halting on the road, he turns on his pursuers and effects their disappearance one after another as they approach him. A copper steals up from behind, and, taken unawares, he is carried off to the station house. With a policeman on each aide of him, he appears before the judge. Picking up the atomizer, he gives it a squeeze and vanishes instantly, leaving the judge and officers dumbfounded.","None, English",United States,N/A,https://m.media-amazon.com/images/M/MV5BZWYyZjEyYzUtZTIxOC00ZjM2LWE1NzctMzBmMGFkN2ViYTk4XkEyXkFqcGdeQXVyOTc0NTI4MTI@._V1_SX300.jpg,N/A,4.2,41,tt0000708,movie,N/A,N/A,N/A,N/A,True,,,,,,,,,,,,,,,,,,
"Ingomar, the Barbarian",1908,N/A,13 Oct 1908,13 min,"Short, Drama, Romance",D.W. Griffith,"D.W. Griffith, Maria Ann Lovell, Ernest Thompson Seton","Charles Inslee, Harry Solter, Florence Lawrence","The 33 year old D.W. Griffith brings his stage experience to bear on the screen in this short film. Having been robbed of dialogue that he was used to in a play, he was forced to rely on visuals to tell the story, thus the term: show, don't tell.","None, English",United States,N/A,N/A,N/A,4.6,31,tt0000706,movie,N/A,N/A,N/A,N/A,True,,,,,,,,,,,,,,,,,,
Julius Caesar,1908,N/A,01 Dec 1908,N/A,"Short, Drama, History","J. Stuart Blackton, William V. Ranous","Theodore A. Liebler Jr. (scenario), William Shakespeare (play)","Charles Kent, William Shea, Maurice Costello, William V. Ranous","An elaborate production of Shakespeare's admirable play. Scene 1. Street in Rome. Casca and Trebonius upbraid the citizens for praising Caesar. Scene 2. The Forum. A soothsayer bids Caesar ""beware of the ides of March."" Scene 3. Mark Antony wins the race and ""thrice he offers Caesar a crown."" Scene 4. Cassius tempts Brutus to join the conspiracy against Caesar. Scene 5. Brutus' garden. Meeting of the conspirators. Scene 6. Caesar's palace. Calphurnia tells Caesar of her dream and begs him not to go to the senate. The conspirators enter, laugh at his fears, urge and got his consent to go. Scene 7. Street near Capitol. The soothsayer again warns Caesar. Scene 8. The Capitol. The assassination of Caesar. Scene 9. The Forum. Brutus addresses the mob. Antony enters with Caesar's body. Scene 10. Brutus' camp near Sardis. Cassius upbraids Brutus. Scene 11. Brutus' tent. Quarrel. Caesar's ghost. Scene 12. Plains of Phillipi. Armies of Mark Antony and Octavius Caesar and Brutus and Cassius. Scene 13. The battle. ""Caesar, thou art revenged even with the sword that killeth thee."" Scene 14. Brutus slays himself. ""Caesar, now be still. I killed not thee with half so good a will."" Scene 15. Brutus' funeral pyre. ""This was the noblest Roman of them all.""",English,USA,N/A,N/A,N/A,6.3,6,tt0000710,movie,N/A,N/A,N/A,N/A,True,,,,,,,,,,,,,,,,,,
Leah the Forsaken,1908,N/A,10 Oct 1908,N/A,"Short, Drama",Van Dyke Brooke,Ritter von Mosenthal (story),"Maurice Costello, Mary Fuller","Leah, a Jewess, with several of her people, are observed in conversation, as a number of Christians come suddenly upon them, stone and drive them away. At the parish church the worshipers are observed leaving, among them Magistrate Lorenz. Father Herman and Madalene, a charming young girl whom Lorenz has chosen as the wife of his son Rudolph. They proceed to the home of Lorenz, where Rudolph is observed seated on a bench, meditating. The young man is upbraided by the father for his failure to attend religious services, and while in conversation Leah appears, closely followed by the angry mob. The crowd makes a rush toward her, the priest raises the cross before them and they cower in fear. Beneath a large cross in the forest, Leah is waiting expectantly. Rudolph appears and the lovers, for such they are, rush into each other's arms. The young man asks Leah to marry him and leave home. She promises, and after vowing eternal fidelity the lovers part, agreeing to meet the following day at the same place and from there leave for other parts. Nathan, an apostate Jew, has stolen in behind the pair during their conversation, hears all and gleefully departs unnoticed. He proceeds directly to the home of the magistrate and tells of Rudolph's love for the Jewess. Lorenz is furious, will not believe the tale, and bids Nathan begone. At this time Rudolph appears, and being asked for the truth, haughtily admits his love for Leah. The old magistrate is heartbroken, and he and Nathan decide to buy off Leah with gold. Although indignant, Rudolph consents to have her love tested. Nathan leaves with the large purse of gold and shortly comes upon her. He offers her the purse which she angrily throws to the ground and indignantly leaves him. Nathan stands for the moment perplexed, then puts the gold in his own pocket, takes the empty purse, returns in the house, and shows the purse minus the gold. The father and his associates are overjoyed, while Rudolph is heartbroken. The next day at the appointed time Leah goes to the forest and waits anxiously for Rudolph. As time passes on and he does not appear, she falls to the ground in bitter grief at his supposed unfaithfulness. At his home Rudolph is heartbroken over what he thinks her falsity. He goes inside warily with his father, and presently Leah approaches the house, knocks at the door and begs to speak to Rudolph. The father orders her away. Rudolph appears in the doorway, starts upon seeing Leah, and angrily bids her depart. Leah does not understand his changed manner and pleads with him. Rudolph denounces her, then passes inside, leaving the Jewess in agony on the steps. Preparations for the marriage of Madalene to Rudolph are quickly made and they repair to the church for the ceremony. Leah creeps up to the door and hides as the party enters. She watches the ceremony, and as the villagers leave the church, falls in a faint. Again at the cross in the forest Rudolph is as Leah appears before him. She upbraids him for his faithlessness, while he shows the empty purse and accuses her. She at last comprehends the situation and indignantly denies having taken the money. Rudolph also sees the mistake, falls to his knees and asks for pardon. Leah haughtily turns away, tells of her suffering, and, bitterly abusing him, departs. Five years elapse, and outside Rudolph's home he and Madalene and their little child are seated. Leah comes upon the little girl and kisses the child lovingly. The villagers come upon the pair and jeer at the Jewess. The noise brings Rudolph and Madalene from the house, and Leah points to Nathan, the leader of the mob, denounces him as an apostate Jew, a thief and the instigator of her unhappiness. Rudolph shows the empty purse, justifying the charge. Nathan is taken in hand by officers and dragged away. Leah staggers, then falls dead at Rudolph's feet.",None,USA,N/A,N/A,N/A,N/A,N/A,tt0000714,movie,N/A,N/A,N/A,N/A,True,,,,,,,,,,,,,,,,,,
The Kentuckian,1908,N/A,07 Jul 1908,N/A,"Short, Western",Wallace McCutcheon,"Augustus Marvin, Stanner E.V. Taylor","Edward Dillon, Florence Auer, D.W. Griffith","A rich young Kentuckian flees West after killing a man in a poker-related duel. Posing as a miner, he visits a saloon, where he carelessly reveals the wad of cash he is carrying. This attracts the envious attention of Native American low-lives, who follow him outside, knife him, and flee with his money. In the nick of time, a Native American woman arrives on the scene who nurses the gravely wounded man back to health. They marry, have a son, and live blissfully for a few years. Then the man learns that his father has died, leaving him an estate. Realizing that he cannot introduce his wife into polite society back East, he vows to renounce his inheritance. The wife solves his problem by putting a bullet in her head.","None, English",United States,N/A,N/A,N/A,4.4,23,tt0000711,movie,N/A,N/A,N/A,N/A,True,,,,,,,,,,,,,,,,,,
The Life of an American Cowboy,1908,N/A,N/A,17 min,"Short, Western",Edwin S. Porter,Gilbert M. 'Broncho Billy' Anderson,Gilbert M. 'Broncho Billy' Anderson,N/A,None,United States,N/A,N/A,N/A,4.8,5,tt0000715,movie,N/A,N/A,N/A,N/A,True,,,,,,,,,,,,,,,,,,
Macbeth,1908,N/A,19 Apr 1908,9 min,"Short, Drama",J. Stuart Blackton,William Shakespeare,"William V. Ranous, Louise Carver, Paul Panzer",Macbeth usurps the Scottish throne by murdering his predecessor.,"None, English",United States,N/A,N/A,N/A,5.6,21,tt0000717,movie,N/A,N/A,N/A,N/A,True,,,,,,,,,,,,,,,,,,
" comes to his rescue and explains that the jubilant gentleman is no other than their dear papa"," who has not only caught up with the bandwagon"," but is sitting on the seat with the driver. They all gasp in surprise"," and young Wilkins takes a wreath of laurel from a statue and places it on old Wilkins' brow"," saying: """"Pop"," you are the candy.""""""","None, English",United States,N/A,https://m.media-amazon.com/images/M/MV5BOWI4OTUzNzYtZDVjYS00ODA4LWE3ZDctYTYxNTA3ZjIyMGQyXkEyXkFqcGdeQXVyNTcwNjUwNzk@._V1_SX300.jpg,N/A,5.1,129,tt0000684,movie,N/A,N/A,N/A,N/A,True,,,,,,,,,,,,,,,,,,,,,,
